update,episode,seed,return,length,success,baseline,loss
0,0,10000,0.975,5,1,0.182,-0.0000
0,1,10001,0.975,5,1,0.182,-0.0000
0,2,10002,0.975,5,1,0.182,-0.0000
0,3,10003,0.975,5,1,0.182,-0.0000
1,4,10004,0.900,5,1,0.317,0.0000
1,5,10005,0.900,5,1,0.317,0.0000
1,6,10006,0.900,5,1,0.317,0.0000
1,7,10007,0.900,5,1,0.317,0.0000
2,8,10008,0.975,5,1,0.438,-0.0000
2,9,10009,0.975,5,1,0.438,-0.0000
2,10,10010,0.975,5,1,0.438,-0.0000
2,11,10011,0.975,5,1,0.438,-0.0000
3,12,10012,0.975,5,1,0.539,-0.0000
3,13,10013,0.975,5,1,0.539,-0.0000
3,14,10014,0.975,5,1,0.539,-0.0000
3,15,10015,0.975,5,1,0.539,-0.0000
4,16,10016,0.975,5,1,0.620,-0.0000
4,17,10017,0.975,5,1,0.620,-0.0000
4,18,10018,0.975,5,1,0.620,-0.0000
4,19,10019,0.975,5,1,0.620,-0.0000
5,20,10020,0.975,5,1,0.686,-0.0000
5,21,10021,0.975,5,1,0.686,-0.0000
5,22,10022,0.975,5,1,0.686,-0.0000
5,23,10023,0.975,5,1,0.686,-0.0000
6,24,10024,0.975,5,1,0.739,0.0000
6,25,10025,0.975,5,1,0.739,0.0000
6,26,10026,0.975,5,1,0.739,0.0000
6,27,10027,0.975,5,1,0.739,0.0000
7,28,10028,0.975,5,1,0.782,0.0000
7,29,10029,0.975,5,1,0.782,0.0000
7,30,10030,0.975,5,1,0.782,0.0000
7,31,10031,0.975,5,1,0.782,0.0000
8,32,10032,0.975,5,1,0.818,-0.0000
8,33,10033,0.975,5,1,0.818,-0.0000
8,34,10034,0.975,5,1,0.818,-0.0000
8,35,10035,0.975,5,1,0.818,-0.0000
9,36,10036,0.600,6,1,0.773,0.0000
9,37,10037,0.600,6,1,0.773,0.0000
9,38,10038,0.600,6,0,0.773,0.0000
9,39,10039,0.600,6,1,0.773,0.0000
10,40,10040,0.900,5,1,0.798,0.0000
10,41,10041,0.900,5,1,0.798,0.0000
10,42,10042,0.900,5,1,0.798,0.0000
10,43,10043,0.900,5,1,0.798,0.0000
11,44,10044,0.600,6,1,0.763,0.0000
11,45,10045,0.600,6,1,0.763,0.0000
11,46,10046,0.600,6,0,0.763,0.0000
11,47,10047,0.600,6,1,0.763,0.0000
12,48,10048,0.600,6,1,0.730,-0.0000
12,49,10049,0.600,6,1,0.730,-0.0000
12,50,10050,0.600,6,0,0.730,-0.0000
12,51,10051,0.600,6,1,0.730,-0.0000
13,52,10052,0.900,5,1,0.761,-0.0000
13,53,10053,0.900,5,1,0.761,-0.0000
13,54,10054,0.900,5,1,0.761,-0.0000
13,55,10055,0.900,5,1,0.761,-0.0000
14,56,10056,0.975,5,1,0.801,0.0000
14,57,10057,0.975,5,1,0.801,0.0000
14,58,10058,0.975,5,1,0.801,0.0000
14,59,10059,0.975,5,1,0.801,0.0000
15,60,10060,0.975,5,1,0.834,-0.0000
15,61,10061,0.975,5,1,0.834,-0.0000
15,62,10062,0.975,5,1,0.834,-0.0000
15,63,10063,0.975,5,1,0.834,-0.0000
16,64,10064,0.900,5,1,0.846,-0.0000
16,65,10065,0.900,5,1,0.846,-0.0000
16,66,10066,0.900,5,1,0.846,-0.0000
16,67,10067,0.900,5,1,0.846,-0.0000
17,68,10068,1.050,5,1,0.884,-0.0000
17,69,10069,1.050,5,1,0.884,-0.0000
